"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0021782","BP","GO:0021782","glial cell development","5/479","139/28891",0.0821369574431212,0.296603623923635,0.244948649624568,"24088/16971/26564/12759/18810",5
"GO:0050684","BP","GO:0050684","regulation of mRNA processing","5/479","139/28891",0.0821369574431212,0.296603623923635,0.244948649624568,"11758/22722/20462/108013/73713",5
"GO:0007141","BP","GO:0007141","male meiosis I","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"114714/268491",2
"GO:0015868","BP","GO:0015868","purine ribonucleotide transport","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"100604/11732",2
"GO:0019433","BP","GO:0019433","triglyceride catabolic process","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"11813/20660",2
"GO:0033119","BP","GO:0033119","negative regulation of RNA splicing","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"108013/73713",2
"GO:0034755","BP","GO:0034755","iron ion transmembrane transport","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"67712/213053",2
"GO:0036342","BP","GO:0036342","post-anal tail morphogenesis","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"58250/22418",2
"GO:0046033","BP","GO:0046033","AMP metabolic process","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"22262/231327",2
"GO:0051503","BP","GO:0051503","adenine nucleotide transport","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"100604/11732",2
"GO:0051767","BP","GO:0051767","nitric-oxide synthase biosynthetic process","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"24088/66725",2
"GO:0051769","BP","GO:0051769","regulation of nitric-oxide synthase biosynthetic process","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"24088/66725",2
"GO:0090208","BP","GO:0090208","positive regulation of triglyceride metabolic process","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"11813/26457",2
"GO:1901380","BP","GO:1901380","negative regulation of potassium ion transmembrane transport","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"108737/225642",2
"GO:1902473","BP","GO:1902473","regulation of protein localization to synapse","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"56508/13383",2
"GO:1903319","BP","GO:1903319","positive regulation of protein maturation","2/479","29/28891",0.0830518516534138,0.296603623923635,0.244948649624568,"72293/17886",2
"GO:0043491","BP","GO:0043491","phosphatidylinositol 3-kinase/protein kinase B signal transduction","9/479","317/28891",0.0832045714732142,0.296614280714106,0.244957450482766,"98432/12540/19249/70527/18705/75669/19882/26564/13383",9
"GO:0071695","BP","GO:0071695","anatomical structure maturation","9/479","317/28891",0.0832045714732142,0.296614280714106,0.244957450482766,"18128/15402/16336/12560/67141/18551/22418/223770/66725",9
"GO:0021543","BP","GO:0021543","pallium development","6/479","182/28891",0.0833575821148879,0.296614280714106,0.244957450482766,"30928/19130/13796/57752/320165/20462",6
"GO:1901991","BP","GO:1901991","negative regulation of mitotic cell cycle phase transition","6/479","182/28891",0.0833575821148879,0.296614280714106,0.244957450482766,"387218/67141/15574/80280/13383/225131",6
"GO:0002011","BP","GO:0002011","morphogenesis of an epithelial sheet","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"18128/22418/208177",3
"GO:0030166","BP","GO:0030166","proteoglycan biosynthetic process","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"15476/269941/58250",3
"GO:0031122","BP","GO:0031122","cytoplasmic microtubule organization","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"269713/57752/13383",3
"GO:0046470","BP","GO:0046470","phosphatidylcholine metabolic process","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"12334/50767/26457",3
"GO:0051591","BP","GO:0051591","response to cAMP","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"76089/432442/19309",3
"GO:0060711","BP","GO:0060711","labyrinthine layer development","3/479","62/28891",0.0837640998382015,0.296614280714106,0.244957450482766,"14622/18799/72469",3
"GO:0015850","BP","GO:0015850","organic hydroxy compound transport","9/479","318/28891",0.0844475424336878,0.298781406478581,0.246747160677647,"80976/20280/11813/18550/12623/67484/18799/16971/19206",9
"GO:0006520","BP","GO:0006520","amino acid metabolic process","8/479","272/28891",0.0846828591867013,0.299080592112911,0.246994241667915,"50880/266645/381314/15378/231327/75387/22293/105727",8
"GO:0003333","BP","GO:0003333","amino acid transmembrane transport","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"100604/215335/214663/105727",4
"GO:0007040","BP","GO:0007040","lysosome organization","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"228545/14339/22293/66725",4
"GO:0008589","BP","GO:0008589","regulation of smoothened signaling pathway","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"269941/20377/19206/20689",4
"GO:0071774","BP","GO:0071774","response to fibroblast growth factor","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"14177/20377/636931/22418",4
"GO:0080171","BP","GO:0080171","lytic vacuole organization","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"228545/14339/22293/66725",4
"GO:0120193","BP","GO:0120193","tight junction organization","4/479","100/28891",0.0850327173654354,0.299080592112911,0.246994241667915,"260305/18810/13383/238829",4
"GO:0060972","BP","GO:0060972","left/right pattern formation","5/479","141/28891",0.0860566589967855,0.302328865395307,0.24967681224345,"71870/18128/11480/75691/22418",5
"GO:0010665","BP","GO:0010665","regulation of cardiac muscle cell apoptotic process","3/479","63/28891",0.0869216052545918,0.302328865395307,0.24967681224345,"12334/75387/68655",3
"GO:0031641","BP","GO:0031641","regulation of myelination","3/479","63/28891",0.0869216052545918,0.302328865395307,0.24967681224345,"13666/13383/94185",3
"GO:0042596","BP","GO:0042596","fear response","3/479","63/28891",0.0869216052545918,0.302328865395307,0.24967681224345,"58234/225642/11554",3
"GO:0030203","BP","GO:0030203","glycosaminoglycan metabolic process","4/479","101/28891",0.0874426456491258,0.302328865395307,0.24967681224345,"15476/269941/58250/56541",4
"GO:0060021","BP","GO:0060021","roof of mouth development","4/479","101/28891",0.0874426456491258,0.302328865395307,0.24967681224345,"242509/22418/13383/215001",4
"GO:0120162","BP","GO:0120162","positive regulation of cold-induced thermogenesis","4/479","101/28891",0.0874426456491258,0.302328865395307,0.24967681224345,"14683/15107/14783/11554",4
"GO:0000272","BP","GO:0000272","polysaccharide catabolic process","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"19309/11554",2
"GO:0001778","BP","GO:0001778","plasma membrane repair","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"434246/17886",2
"GO:0003171","BP","GO:0003171","atrioventricular valve development","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"18128/22761",2
"GO:0006929","BP","GO:0006929","substrate-dependent cell migration","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"319480/17973",2
"GO:0010592","BP","GO:0010592","positive regulation of lamellipodium assembly","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"12540/319974",2
"GO:0010971","BP","GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"67141/114714",2
"GO:0015865","BP","GO:0015865","purine nucleotide transport","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"100604/11732",2
"GO:0016242","BP","GO:0016242","negative regulation of macroautophagy","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"72344/66725",2
"GO:0022010","BP","GO:0022010","central nervous system myelination","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"24088/12759",2
"GO:0032291","BP","GO:0032291","axon ensheathment in central nervous system","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"24088/12759",2
"GO:0035510","BP","GO:0035510","DNA dealkylation","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"214133/72041",2
"GO:0042744","BP","GO:0042744","hydrogen peroxide catabolic process","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"11758/17523",2
"GO:0045730","BP","GO:0045730","respiratory burst","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"63953/17523",2
"GO:0048745","BP","GO:0048745","smooth muscle tissue development","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"19130/13383",2
"GO:0051894","BP","GO:0051894","positive regulation of focal adhesion assembly","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"14260/17886",2
"GO:0060045","BP","GO:0060045","positive regulation of cardiac muscle cell proliferation","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"18128/12444",2
"GO:0060907","BP","GO:0060907","positive regulation of macrophage cytokine production","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"24088/22418",2
"GO:0098581","BP","GO:0098581","detection of external biotic stimulus","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"24088/17951",2
"GO:1901658","BP","GO:1901658","glycosyl compound catabolic process","2/479","30/28891",0.0880418011156585,0.302328865395307,0.24967681224345,"22262/22271",2
"GO:0032434","BP","GO:0032434","regulation of proteasomal ubiquitin-dependent protein catabolic process","5/479","142/28891",0.0880527398497092,0.302328865395307,0.24967681224345,"76375/72293/12759/66725/225131",5
"GO:0055123","BP","GO:0055123","digestive system development","5/479","142/28891",0.0880527398497092,0.302328865395307,0.24967681224345,"18128/13852/15402/20377/22418",5
"GO:0072089","BP","GO:0072089","stem cell proliferation","5/479","142/28891",0.0880527398497092,0.302328865395307,0.24967681224345,"18128/636931/19206/22418/102465187",5
"GO:0001649","BP","GO:0001649","osteoblast differentiation","7/479","230/28891",0.0895903598266846,0.305548565569741,0.252335785857767,"18128/11480/14683/12457/20377/67141/19206",7
"GO:0002028","BP","GO:0002028","regulation of sodium ion transport","4/479","102/28891",0.0898853691906838,0.305548565569741,0.252335785857767,"329152/14683/225642/246317",4
"GO:0009798","BP","GO:0009798","axis specification","4/479","102/28891",0.0898853691906838,0.305548565569741,0.252335785857767,"18128/20377/19206/22418",4
"GO:1904063","BP","GO:1904063","negative regulation of cation transmembrane transport","4/479","102/28891",0.0898853691906838,0.305548565569741,0.252335785857767,"329152/108737/69563/225642",4
"GO:0014013","BP","GO:0014013","regulation of gliogenesis","5/479","143/28891",0.0900728137498301,0.305548565569741,0.252335785857767,"63953/18128/24088/69743/18096",5
"GO:0042303","BP","GO:0042303","molting cycle","5/479","143/28891",0.0900728137498301,0.305548565569741,0.252335785857767,"18128/14683/12560/22418/12614",5
"GO:0042633","BP","GO:0042633","hair cycle","5/479","143/28891",0.0900728137498301,0.305548565569741,0.252335785857767,"18128/14683/12560/22418/12614",5
"GO:0046434","BP","GO:0046434","organophosphate catabolic process","5/479","143/28891",0.0900728137498301,0.305548565569741,0.252335785857767,"11758/22262/11813/22271/18585",5
"GO:0006446","BP","GO:0006446","regulation of translational initiation","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"13666/17973/56541",3
"GO:0010517","BP","GO:0010517","regulation of phospholipase activity","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"11813/18799/16971",3
"GO:0019646","BP","GO:0019646","aerobic electron transport chain","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"12859/66152/12867",3
"GO:0046173","BP","GO:0046173","polyol biosynthetic process","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"20280/18799/17886",3
"GO:0046850","BP","GO:0046850","regulation of bone remodeling","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"16331/20377/23854",3
"GO:0048278","BP","GO:0048278","vesicle docking","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"228545/13852/208898",3
"GO:0050775","BP","GO:0050775","positive regulation of dendrite morphogenesis","3/479","64/28891",0.0901287902060543,0.305548565569741,0.252335785857767,"13838/22418/21844",3
"GO:0002244","BP","GO:0002244","hematopoietic progenitor cell differentiation","6/479","186/28891",0.0902325390910163,0.305548565569741,0.252335785857767,"18128/214133/16498/20377/57916/108800",6
"GO:0046661","BP","GO:0046661","male sex differentiation","6/479","186/28891",0.0902325390910163,0.305548565569741,0.252335785857767,"11480/55994/20377/244486/16336/22418",6
"GO:0006417","BP","GO:0006417","regulation of translation","11/479","418/28891",0.0903382980953077,0.305659193070046,0.25242714703688,"12457/242726/231659/13666/17973/636931/207181/56541/218506/223453/70640",11
"GO:0043542","BP","GO:0043542","endothelial cell migration","7/479","231/28891",0.0911519674542526,0.308162916648088,0.254494834886953,"19130/18128/13846/12554/723924/22418/17886",7
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","8/479","277/28891",0.0916539763221275,0.309609797236783,0.255689734132217,"13838/54712/22418/17886/13383/21844/13640/260409",8
"GO:0009799","BP","GO:0009799","specification of symmetry","5/479","144/28891",0.0921167536051741,0.310170904651238,0.256153121941331,"71870/18128/11480/75691/22418",5
"GO:0009855","BP","GO:0009855","determination of bilateral symmetry","5/479","144/28891",0.0921167536051741,0.310170904651238,0.256153121941331,"71870/18128/11480/75691/22418",5
"GO:0046165","BP","GO:0046165","alcohol biosynthetic process","5/479","144/28891",0.0921167536051741,0.310170904651238,0.256153121941331,"20280/57357/12623/18799/17886",5
"GO:1905039","BP","GO:1905039","carboxylic acid transmembrane transport","5/479","144/28891",0.0921167536051741,0.310170904651238,0.256153121941331,"100604/26457/215335/214663/105727",5
"GO:1903050","BP","GO:1903050","regulation of proteolysis involved in protein catabolic process","7/479","232/28891",0.0927288141055918,0.310688220507337,0.25658034470653,"13838/13666/76375/72293/12759/66725/225131",7
"GO:0009162","BP","GO:0009162","deoxyribonucleoside monophosphate metabolic process","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"22262/22271",2
"GO:0021533","BP","GO:0021533","cell differentiation in hindbrain","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"19130/11941",2
"GO:0031629","BP","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"12287/13852",2
"GO:0032801","BP","GO:0032801","receptor catabolic process","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"18550/75669",2
"GO:0042634","BP","GO:0042634","regulation of hair cycle","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"12560/22418",2
"GO:0043032","BP","GO:0043032","positive regulation of macrophage activation","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"22418/66725",2
"GO:0045762","BP","GO:0045762","positive regulation of adenylate cyclase activity","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"12289/11554",2
"GO:0046628","BP","GO:0046628","positive regulation of insulin receptor signaling pathway","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"20660/20411",2
"GO:0086010","BP","GO:0086010","membrane depolarization during action potential","2/479","31/28891",0.0931185026017238,0.310688220507337,0.25658034470653,"12289/20273",2
"GO:0002762","BP","GO:0002762","negative regulation of myeloid leukocyte differentiation","3/479","65/28891",0.0933847664222196,0.310688220507337,0.25658034470653,"16331/20377/22761",3
"GO:0006911","BP","GO:0006911","phagocytosis, engulfment","3/479","65/28891",0.0933847664222196,0.310688220507337,0.25658034470653,"12540/232201/17886",3
"GO:0050873","BP","GO:0050873","brown fat cell differentiation","3/479","65/28891",0.0933847664222196,0.310688220507337,0.25658034470653,"63953/94187/11554",3
"GO:0060760","BP","GO:0060760","positive regulation of response to cytokine stimulus","3/479","65/28891",0.0933847664222196,0.310688220507337,0.25658034470653,"16177/24088/22418",3
"GO:0071260","BP","GO:0071260","cellular response to mechanical stimulus","3/479","65/28891",0.0933847664222196,0.310688220507337,0.25658034470653,"387218/56541/18810",3
"GO:0051302","BP","GO:0051302","regulation of cell division","6/479","188/28891",0.0937823101812665,0.311762814926913,0.257467793243022,"30928/12540/12704/14177/75669/19206",6
"GO:0019693","BP","GO:0019693","ribose phosphate metabolic process","10/479","373/28891",0.0940395562005365,0.312107189839832,0.257752193577611,"15378/18598/22262/231327/11941/52815/22271/75456/66725/18585",10
"GO:0000723","BP","GO:0000723","telomere maintenance","5/479","145/28891",0.0941844269674481,0.312107189839832,0.257752193577611,"15574/68275/114714/70640/226026",5
"GO:0035270","BP","GO:0035270","endocrine system development","5/479","145/28891",0.0941844269674481,0.312107189839832,0.257752193577611,"18096/15402/13666/22418/12759",5
"GO:1903825","BP","GO:1903825","organic acid transmembrane transport","5/479","145/28891",0.0941844269674481,0.312107189839832,0.257752193577611,"100604/26457/215335/214663/105727",5
"GO:0001938","BP","GO:0001938","positive regulation of endothelial cell proliferation","4/479","104/28891",0.0948680011823629,0.313874984924558,0.259212118487119,"19130/12554/74370/22418",4
"GO:0140029","BP","GO:0140029","exocytic process","4/479","104/28891",0.0948680011823629,0.313874984924558,0.259212118487119,"12287/228545/13852/208898",4
"GO:0009612","BP","GO:0009612","response to mechanical stimulus","6/479","189/28891",0.0955850446369872,0.315747754085214,0.260758735722919,"11941/76645/387218/56541/18810/58234",6
"GO:0060294","BP","GO:0060294","cilium movement involved in cell motility","6/479","189/28891",0.0955850446369872,0.315747754085214,0.260758735722919,"71870/260305/269701/330355/69926/100048534",6
"GO:0003341","BP","GO:0003341","cilium movement","7/479","234/28891",0.0959280813617392,0.315899898383271,0.260884383346048,"71870/260305/269701/330355/244653/69926/100048534",7
"GO:0002274","BP","GO:0002274","myeloid leukocyte activation","8/479","280/28891",0.095990783406124,0.315899898383271,0.260884383346048,"24088/19267/109934/360013/22418/12759/66725/225642",8
"GO:0006874","BP","GO:0006874","intracellular calcium ion homeostasis","9/479","327/28891",0.096133209273102,0.315899898383271,0.260884383346048,"22065/74772/11941/18799/76137/26946/22418/19309/12766",9
"GO:0036294","BP","GO:0036294","cellular response to decreased oxygen levels","5/479","146/28891",0.0962756961291003,0.315899898383271,0.260884383346048,"13838/18128/19223/74370/68655",5
"GO:0042471","BP","GO:0042471","ear morphogenesis","5/479","146/28891",0.0962756961291003,0.315899898383271,0.260884383346048,"11941/109934/26564/22418/12614",5
"GO:0001954","BP","GO:0001954","positive regulation of cell-matrix adhesion","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"14260/12554/17886",3
"GO:0009123","BP","GO:0009123","nucleoside monophosphate metabolic process","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"22262/231327/22271",3
"GO:0010662","BP","GO:0010662","regulation of striated muscle cell apoptotic process","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"12334/75387/68655",3
"GO:0045778","BP","GO:0045778","positive regulation of ossification","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"11480/20516/22418",3
"GO:0051055","BP","GO:0051055","negative regulation of lipid biosynthetic process","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"19130/102635496/26457",3
"GO:0060688","BP","GO:0060688","regulation of morphogenesis of a branching structure","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"20377/22418/66725",3
"GO:0060999","BP","GO:0060999","positive regulation of dendritic spine development","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"228880/58234/21844",3
"GO:1902692","BP","GO:1902692","regulation of neuroblast proliferation","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"19130/18128/66725",3
"GO:2000401","BP","GO:2000401","regulation of lymphocyte migration","3/479","66/28891",0.0966886346079835,0.315899898383271,0.260884383346048,"18600/108737/22418",3
"GO:0014910","BP","GO:0014910","regulation of smooth muscle cell migration","4/479","105/28891",0.0974072874853609,0.317863445778978,0.262505969342502,"56508/20660/16971/17886",4
"GO:0010631","BP","GO:0010631","epithelial cell migration","9/479","328/28891",0.0974868940043838,0.317863445778978,0.262505969342502,"63953/19130/18128/13846/16336/12554/723924/22418/17886",9
"GO:0003299","BP","GO:0003299","muscle hypertrophy in response to stress","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"22065/69642",2
"GO:0005979","BP","GO:0005979","regulation of glycogen biosynthetic process","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"14783/20411",2
"GO:0010962","BP","GO:0010962","regulation of glucan biosynthetic process","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"14783/20411",2
"GO:0014898","BP","GO:0014898","cardiac muscle hypertrophy in response to stress","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"22065/69642",2
"GO:0021952","BP","GO:0021952","central nervous system projection neuron axonogenesis","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"13838/13175",2
"GO:0030262","BP","GO:0030262","apoptotic nuclear changes","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"208194/80280",2
"GO:0031295","BP","GO:0031295","T cell costimulation","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"13846/12507",2
"GO:0034505","BP","GO:0034505","tooth mineralization","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"208659/11732",2
"GO:0099500","BP","GO:0099500","vesicle fusion to plasma membrane","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"12287/13852",2
"GO:1903649","BP","GO:1903649","regulation of cytoplasmic transport","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"20660/66725",2
"GO:1990806","BP","GO:1990806","ligand-gated ion channel signaling pathway","2/479","32/28891",0.098277722475423,0.317863445778978,0.262505969342502,"233079/21844",2
"GO:0006690","BP","GO:0006690","icosanoid metabolic process","5/479","147/28891",0.0983904182212422,0.317982016229702,0.262603890168304,"19223/211666/24088/23945/13085",5
"GO:0051258","BP","GO:0051258","protein polymerization","8/479","282/28891",0.0989458776904576,0.319530239769493,0.263882482993206,"14260/24088/17973/67141/17755/13383/260409/245857",8
"GO:0055001","BP","GO:0055001","muscle cell development","7/479","236/28891",0.0991878528313339,0.320004748254219,0.264274353500489,"19130/18128/17268/109711/18810/215001/11554",7
"GO:0048754","BP","GO:0048754","branching morphogenesis of an epithelial tube","6/479","191/28891",0.0992458532964423,0.320004748254219,0.264274353500489,"18128/15402/19206/22418/12614/13383",6
"GO:0022904","BP","GO:0022904","respiratory electron transport chain","4/479","106/28891",0.0999781253399003,0.320832153618897,0.264957662167082,"12859/66152/12867/18810",4
"GO:0010770","BP","GO:0010770","positive regulation of cell morphogenesis","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"13838/22418/21844",3
"GO:0032835","BP","GO:0032835","glomerulus development","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"18128/19126/71602",3
"GO:0048599","BP","GO:0048599","oocyte development","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"16336/67141/268491",3
"GO:0070059","BP","GO:0070059","intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"13666/17973/66725",3
"GO:0071470","BP","GO:0071470","cellular response to osmotic stress","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"100604/108737/74370",3
"GO:1903539","BP","GO:1903539","protein localization to postsynaptic membrane","3/479","67/28891",0.100039485489967,0.320832153618897,0.264957662167082,"56508/13383/246317",3
"GO:0090132","BP","GO:0090132","epithelium migration","9/479","330/28891",0.100227279381717,0.321188109099111,0.265251626256434,"63953/19130/18128/13846/16336/12554/723924/22418/17886",9
"GO:0050864","BP","GO:0050864","regulation of B cell activation","5/479","148/28891",0.100528445312355,0.32190655305993,0.2658449496815,"16331/20377/57916/12053/94185",5
"GO:1902806","BP","GO:1902806","regulation of cell cycle G1/S phase transition","6/479","192/28891",0.101103774437158,0.323501135957304,0.267161828154727,"12444/387218/74370/218793/13383/225131",6
"GO:0046777","BP","GO:0046777","protein autophosphorylation","7/479","238/28891",0.102507784074289,0.324757062929825,0.26819902929164,"13838/74772/13846/13666/108737/66725/26403",7
"GO:0010389","BP","GO:0010389","regulation of G2/M transition of mitotic cell cycle","4/479","107/28891",0.102580183276687,0.324757062929825,0.26819902929164,"67141/15574/114714/80280",4
"GO:0090130","BP","GO:0090130","tissue migration","9/479","332/28891",0.10301157489925,0.324757062929825,0.26819902929164,"63953/19130/18128/13846/16336/12554/723924/22418/17886",9
"GO:0000768","BP","GO:0000768","syncytium formation by plasma membrane fusion","3/479","68/28891",0.103436400824285,0.324757062929825,0.26819902929164,"12334/17886/14218",3
"GO:0001655","BP","GO:0001655","urogenital system development","3/479","68/28891",0.103436400824285,0.324757062929825,0.26819902929164,"18128/20377/22418",3
"GO:0062237","BP","GO:0062237","protein localization to postsynapse","3/479","68/28891",0.103436400824285,0.324757062929825,0.26819902929164,"56508/13383/246317",3
"GO:0140253","BP","GO:0140253","cell-cell fusion","3/479","68/28891",0.103436400824285,0.324757062929825,0.26819902929164,"12334/17886/14218",3
"GO:2000134","BP","GO:2000134","negative regulation of G1/S transition of mitotic cell cycle","3/479","68/28891",0.103436400824285,0.324757062929825,0.26819902929164,"387218/13383/225131",3
"GO:0006506","BP","GO:0006506","GPI anchor biosynthetic process","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"56703/231293",2
"GO:0006921","BP","GO:0006921","cellular component disassembly involved in execution phase of apoptosis","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"208194/80280",2
"GO:0008045","BP","GO:0008045","motor neuron axon guidance","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"13838/20562",2
"GO:0009072","BP","GO:0009072","aromatic amino acid metabolic process","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"266645/22293",2
"GO:0009156","BP","GO:0009156","ribonucleoside monophosphate biosynthetic process","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"231327/22271",2
"GO:0014887","BP","GO:0014887","cardiac muscle adaptation","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"22065/69642",2
"GO:0021697","BP","GO:0021697","cerebellar cortex formation","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"19130/11941",2
"GO:0030947","BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"12509/14783",2
"GO:0033598","BP","GO:0033598","mammary gland epithelial cell proliferation","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"15402/22418",2
"GO:0048668","BP","GO:0048668","collateral sprouting","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"16971/13640",2
"GO:0048841","BP","GO:0048841","regulation of axon extension involved in axon guidance","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"22418/20562",2
"GO:0050654","BP","GO:0050654","chondroitin sulfate proteoglycan metabolic process","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"269941/58250",2
"GO:0051642","BP","GO:0051642","centrosome localization","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"234663/13383",2
"GO:0140058","BP","GO:0140058","neuron projection arborization","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"22418/66725",2
"GO:0140448","BP","GO:0140448","signaling receptor ligand precursor processing","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"18550/18551",2
"GO:1901798","BP","GO:1901798","positive regulation of signal transduction by p53 class mediator","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"114716/80280",2
"GO:1902751","BP","GO:1902751","positive regulation of cell cycle G2/M phase transition","2/479","33/28891",0.103515343109865,0.324757062929825,0.26819902929164,"67141/114714",2
